Marketing Messages Lite API.,,
,,
Market,Currency,Marketing Messages Lite
Argentina,INR,4.07637
Brazil,INR,4.12272
Chile,INR,5.86215
Colombia,INR,0.82449
Egypt,INR,7.07859
France,INR,9.44856
Germany,INR,9.00657
India,INR,0.70614
Indonesia,INR,2.70999
Israel,INR,2.32839
Italy,INR,4.55526
Malaysia,INR,5.67333
Mexico,INR,2.87442
Netherlands,INR,10.53702
Nigeria,INR,3.40659
Pakistan,INR,3.12147
Peru,INR,4.63824
Russia,INR,5.28903
Saudi Arabia,INR,2.99628
South Africa,INR,2.50389
Spain,INR,4.05396
Turkey,INR,0.71901
United Arab Emirates,INR,2.53476
United Kingdom,INR,3.48723
North America,INR,1.64817
Rest of Africa,INR,1.48473
Rest of Asia Pacific,INR,4.82976
Rest of Central & Eastern Europe,INR,5.66973
Rest of Latin America,INR,4.87863
Rest of Middle East,INR,2.24937
Rest of Western Europe,INR,3.90402
Other,INR,3.98232